,Gender,Organizes activities with his friends,What are your strengths among these,What activity do you do most frequently?,have difficulty understanding what you have read?,FavoriteSubject,FavoriteGame,IntelligenceType
21,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
1072,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Gardener or Biologist,Music,Pet simulator,Spatial
2118,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,foreign languages,Guess the song games,Musical
860,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,intereste in the environment in his daily actions and learns new things about nature,Mathematics teacher or engineer,Biology and Earth,Sports games,Naturalistic
4087,Female,Organizes activities with his friends,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Sports games,Logico Math̩matique
1733,Male,Spend a lot of time outdoors and identifie plants and animals or insects, has the ability to easily recognize birds plants and trees,intereste in the environment in his daily actions and learns new things about nature,Dancer or Athlete or Build,Maths,Sports games,Naturalistic
2324,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,foreign languages,Building games or maze games or drawing guess games,Kinesthetic
167,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Physical education,Individual games,Intra Personnelle
1616,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Mathematics teacher or engineer,foreign languages,Sports games,Kinesthetic
23,Male,Invent write and tell stories,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
1452,Male,Organizes activities with his friends, has the ability to easily recognize birds plants and trees,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Biology and Earth,Board games or card games,Inter Personnelle
2040,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Mathematics teacher or engineer,Maths,Building games or maze games or drawing guess games,Spatial
2352,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Singer or Music Teacher,Music,Guess the song games,Musical
676,Female,Writes his diary or expresses his feelings in poems or only practices certain hobbies,Easily remember the rhythm or music of commercials,reacts strongly to controversial opinions,writer,Maths,Individual games,Intra Personnelle
197,Female,Invent write and tell stories,expresses himself with a rich vocabulary,Read a lot,Psychiatrist or Salesman or Counselor,Arts,Individual games,Linguistic
906,Female,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Singer or Music Teacher,Maths,Building games or maze games or drawing guess games,Spatial
1610,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Arts,Individual games,Kinesthetic
4202,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Maths,Sports games,Kinesthetic
4650,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Biology and Earth,Building games or maze games or drawing guess games,Musical
302,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,Biology and Earth,Building games or maze games or drawing guess games,Spatial
2886,Female,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Maths,Sports games,Kinesthetic
254,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Puzzle games or strategy games,Logico Math̩matique
1945,Male,Listen to music or plays an instrument,decides for himself what he think to do and tracks his personal interests alone,listens to many styles of music often and repeats the song aloud,Mathematics teacher or engineer,Biology and Earth,Guess the song games,Musical
