,He likes to be part of a team and enjoy collective activities,It's fun to be with others more than to be alone,Likes to help others,Loves to share his knowledge,It is important for him to follow his own way,He likes to try new things,He do not like to follow the rules,He likes to change things by himself,It is important for him that is always his duties in full,He likes to defeat obstacles,He loves competitions where they can win a prize,If sufficient reward will strive,Playertype
1389,neutral,Does not like,Likes,neutral,Does not like,Does not like,Does not like,neutral,neutral,Does not like,neutral,Likes,type_player
4009,Does not like,Does not like,Does not like,neutral,Does not like,neutral,neutral,neutral,neutral,Likes,neutral,neutral,type_achiever
1065,Does not like,neutral,Likes,neutral,Likes,neutral,Likes,Does not like,Likes,Likes,neutral,Likes,type_achiever
3552,neutral,Does not like,Does not like,Likes,Does not like,Likes,Likes,Does not like,Does not like,Likes,Does not like,Does not like,type_achiever
779,Does not like,Does not like,neutral,Likes,Likes,Does not like,neutral,Likes,Likes,neutral,neutral,Does not like,type_achiever
1208,Does not like,Likes,Does not like,neutral,Likes,neutral,neutral,Likes,Does not like,Does not like,neutral,Likes,type_disruptor
4775,neutral,Does not like,Does not like,Likes,Likes,neutral,Does not like,Likes,Likes,Does not like,Likes,neutral,type_player
323,neutral,neutral,neutral,neutral,Does not like,neutral,Likes,neutral,Likes,Likes,Likes,Likes,type_achiever
3127,Does not like,Likes,Likes,Likes,Does not like,neutral,Does not like,Does not like,neutral,neutral,Does not like,Does not like,type_philanthropist
4949,Likes,Likes,Does not like,neutral,Does not like,neutral,Likes,Does not like,Does not like,neutral,neutral,neutral,type_socializer
654,Does not like,neutral,Does not like,neutral,Likes,Does not like,neutral,Likes,Does not like,Does not like,Does not like,neutral,type_disruptor
1019,neutral,Does not like,Does not like,neutral,Likes,Likes,Likes,Does not like,neutral,neutral,neutral,Does not like,type_freeSpirit
490,neutral,neutral,Does not like,Does not like,neutral,neutral,Does not like,Likes,Does not like,Likes,Does not like,Does not like,type_socializer
4551,Does not like,Does not like,Does not like,Does not like,Likes,Does not like,Does not like,Likes,Does not like,Likes,Does not like,neutral,type_achiever
1191,Likes,Likes,neutral,Does not like,Likes,Does not like,Likes,neutral,Does not like,neutral,neutral,neutral,type_socializer
1565,Likes,neutral,neutral,neutral,Does not like,neutral,neutral,Likes,Does not like,Likes,Likes,Likes,type_player
2212,Likes,Does not like,neutral,neutral,Does not like,Does not like,neutral,neutral,Does not like,Likes,Likes,neutral,type_player
1702,Likes,Likes,neutral,Likes,neutral,Does not like,Does not like,Does not like,neutral,Does not like,Does not like,Likes,type_socializer
4065,neutral,Likes,Likes,Does not like,neutral,neutral,neutral,Does not like,Does not like,Likes,Does not like,neutral,type_socializer
3407,neutral,Does not like,neutral,neutral,Does not like,Likes,Likes,Likes,neutral,neutral,Likes,neutral,type_disruptor
357,neutral,Does not like,Likes,Likes,neutral,neutral,Likes,Likes,Does not like,Does not like,Likes,Does not like,type_disruptor
2283,Does not like,neutral,Likes,Likes,Does not like,Does not like,Does not like,neutral,Likes,neutral,neutral,neutral,type_philanthropist
3440,neutral,neutral,Does not like,Likes,neutral,Does not like,Does not like,neutral,Does not like,Likes,Does not like,neutral,type_socializer
4735,Likes,Likes,Does not like,Does not like,neutral,neutral,neutral,Likes,Likes,Does not like,Likes,neutral,type_socializer
1627,Likes,Likes,neutral,Likes,neutral,Does not like,Does not like,Likes,Likes,Likes,neutral,Likes,type_socializer
1497,Likes,Likes,neutral,Likes,Likes,neutral,neutral,Does not like,Does not like,neutral,Does not like,neutral,type_socializer
2918,neutral,Does not like,Likes,neutral,Does not like,neutral,neutral,Does not like,Likes,neutral,neutral,Likes,type_achiever
3851,Does not like,Likes,neutral,Likes,Does not like,neutral,Does not like,neutral,neutral,Does not like,Likes,Does not like,type_philanthropist
710,Does not like,neutral,neutral,Does not like,Does not like,Likes,Likes,neutral,neutral,Does not like,Does not like,Does not like,type_disruptor
3056,neutral,Likes,Likes,Likes,Does not like,neutral,Does not like,Does not like,neutral,Does not like,Likes,neutral,type_philanthropist
493,Does not like,neutral,Likes,neutral,Does not like,Likes,Likes,neutral,Likes,Likes,neutral,Likes,type_achiever
4279,Likes,Does not like,Does not like,Does not like,Likes,Does not like,Likes,Does not like,Does not like,Does not like,neutral,Likes,type_player
964,Does not like,Does not like,Does not like,Likes,Does not like,Does not like,Does not like,Likes,neutral,neutral,Likes,Likes,type_player
2916,Likes,Likes,Does not like,Does not like,Likes,Does not like,neutral,Does not like,neutral,Does not like,Does not like,Likes,type_socializer
19,neutral,Does not like,neutral,Likes,Does not like,Likes,Likes,Likes,Likes,Likes,neutral,Likes,type_achiever
843,Does not like,Likes,Likes,neutral,neutral,Does not like,neutral,Does not like,Likes,Likes,Likes,neutral,type_achiever
408,Likes,Likes,Likes,Does not like,neutral,neutral,neutral,Does not like,neutral,Does not like,Likes,neutral,type_socializer
240,neutral,Likes,Does not like,Likes,neutral,neutral,Does not like,neutral,neutral,Does not like,Likes,Does not like,type_socializer
3103,Likes,Likes,Does not like,Likes,Likes,neutral,Likes,Likes,neutral,Likes,Does not like,Likes,type_socializer
4857,neutral,Likes,Likes,neutral,Does not like,neutral,neutral,neutral,neutral,Does not like,Does not like,neutral,type_socializer
183,Does not like,neutral,Likes,Does not like,Does not like,neutral,neutral,Likes,Likes,neutral,neutral,Does not like,type_achiever
1172,neutral,Likes,Likes,neutral,neutral,neutral,Likes,Likes,Likes,Likes,neutral,neutral,type_achiever
3832,Likes,Does not like,Likes,Likes,Likes,Likes,Likes,Likes,Likes,Does not like,Does not like,neutral,type_disruptor
1594,Likes,Likes,Does not like,Does not like,Does not like,neutral,neutral,Likes,Does not like,neutral,Likes,neutral,type_socializer
790,neutral,Does not like,neutral,neutral,Does not like,neutral,Does not like,Does not like,neutral,Does not like,Does not like,neutral,type_philanthropist
4582,Does not like,neutral,Likes,Does not like,Likes,Likes,Does not like,neutral,neutral,neutral,neutral,Does not like,type_freeSpirit
1217,neutral,Likes,neutral,Does not like,neutral,Does not like,Likes,Does not like,Likes,neutral,Does not like,neutral,type_socializer
866,neutral,Does not like,Likes,neutral,neutral,neutral,Likes,neutral,Likes,neutral,neutral,Likes,type_achiever
3993,Likes,Likes,neutral,neutral,neutral,Likes,Likes,Likes,Likes,Does not like,neutral,neutral,type_socializer
562,Does not like,Does not like,Likes,Likes,neutral,neutral,neutral,neutral,Does not like,Likes,neutral,Does not like,type_philanthropist
634,neutral,Does not like,neutral,Likes,neutral,neutral,Likes,Likes,Does not like,Likes,Does not like,Does not like,type_disruptor
4524,Likes,Does not like,Likes,neutral,Likes,Likes,Does not like,Does not like,Likes,Does not like,Likes,Does not like,type_freeSpirit
756,neutral,Does not like,neutral,neutral,Does not like,Likes,neutral,neutral,Does not like,Likes,Does not like,Does not like,type_achiever
4734,Does not like,neutral,neutral,neutral,neutral,Does not like,neutral,Likes,Likes,neutral,Likes,Does not like,type_achiever
1220,neutral,neutral,neutral,neutral,Likes,Likes,Likes,Does not like,Likes,Does not like,Does not like,Likes,type_freeSpirit
2558,Likes,neutral,Likes,neutral,Does not like,Likes,Likes,Does not like,Does not like,Does not like,neutral,Does not like,type_socializer
3506,Likes,Does not like,Likes,Does not like,neutral,Does not like,Does not like,Likes,Does not like,neutral,Does not like,Does not like,type_socializer
1573,neutral,Does not like,Does not like,neutral,Likes,Does not like,Likes,neutral,Does not like,Does not like,Likes,Does not like,type_disruptor
1539,Does not like,neutral,Likes,Likes,neutral,neutral,neutral,Does not like,Likes,neutral,neutral,Likes,type_philanthropist
3053,Likes,Does not like,neutral,Likes,Likes,Likes,Does not like,Likes,Likes,Does not like,Likes,Likes,type_player
2709,neutral,Does not like,neutral,Likes,neutral,Does not like,Does not like,neutral,neutral,Likes,Does not like,Does not like,type_achiever
141,Likes,neutral,Does not like,Does not like,Does not like,neutral,neutral,neutral,Does not like,neutral,neutral,neutral,type_socializer
3642,Does not like,neutral,Likes,Likes,neutral,neutral,Does not like,Likes,Likes,neutral,Does not like,Likes,type_philanthropist
2598,Does not like,Does not like,neutral,Does not like,Does not like,neutral,Likes,neutral,Does not like,neutral,Likes,Does not like,type_disruptor
3684,Likes,neutral,neutral,Likes,Does not like,Does not like,neutral,Likes,neutral,Does not like,neutral,neutral,type_socializer
3389,neutral,Likes,Likes,neutral,Likes,Likes,Does not like,neutral,neutral,Likes,Does not like,Likes,type_freeSpirit
678,Likes,Does not like,Likes,Likes,neutral,Likes,neutral,Likes,neutral,Likes,Likes,Likes,type_player
3647,Likes,neutral,Likes,Likes,Does not like,neutral,Does not like,neutral,Likes,neutral,neutral,neutral,type_philanthropist
4200,neutral,Does not like,neutral,neutral,Does not like,Does not like,Does not like,neutral,Likes,Does not like,Likes,Likes,type_player
2690,Likes,neutral,Does not like,Likes,neutral,Likes,neutral,neutral,neutral,Does not like,Does not like,Does not like,type_socializer
1040,neutral,Likes,Does not like,Likes,neutral,Likes,Likes,Does not like,neutral,Likes,Likes,neutral,type_socializer
2962,neutral,neutral,Does not like,Does not like,Does not like,Likes,Likes,Does not like,Does not like,Likes,neutral,neutral,type_socializer
629,Likes,Does not like,Does not like,neutral,Does not like,Likes,Likes,Likes,Does not like,Likes,Does not like,neutral,type_disruptor
3791,Does not like,Likes,Likes,Does not like,Does not like,Does not like,Does not like,Does not like,Likes,neutral,Likes,neutral,type_achiever
